"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",5116,58917,2,7,65,12
,J63 Druge informacijske dejavnosti,1384,16135,2,8,72,12
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",18058,215764,4,13,112,12
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",7187,95159,4,15,113,13
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,1895,29038,3,10,65,15
,L68 Poslovanje z nepremièninami,2260,45136,3,11,57,20
,M69 Pravne in raèunovodske dejavnosti,4776,93782,3,10,49,20
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",4277,72569,2,9,50,17
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",8762,131290,2,8,54,15
,M72 Znanstvena raziskovalna in razvojna dejavnost,3736,45779,2,8,68,12
,M73 Oglaševanje in raziskovanje trga,2272,31150,3,10,70,14
,M74 Druge strokovne in tehniène dejavnosti,561,11826,2,6,30,21
,M75 Veterinarstvo,336,6500,2,8,41,19
,N77 Dajanje v najem in zakup,224,5532,3,10,40,25
,N78 Zaposlovalne dejavnosti,5613,61459,4,14,125,11
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1226,24194,3,12,59,20
,N80 Varovanje in poizvedovalne dejavnosti,4434,116206,5,17,66,26
,N81 Dejavnost oskrbe stavb in okolice,7395,193367,6,22,82,26
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2146,44516,4,14,69,21
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",69419,886467,5,17,130,13
,P85 Izobraževanje,65616,888437,4,14,1010,14
,Q86 Zdravstvo,38252,696234,5,18,101,18
,Q87 Socialno varstvo z nastanitvijo,12030,229932,6,22,114,19
